ลำดับ,จังหวัดภูมิลำเนา,จังหวัดสถานที่ติดต่อได้,จังหวัดสถานที่ทำงาน,สถานะใบอนุญาต
39847,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39848,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39849,นครราชสีมา,นครราชสีมา,ชลบุรี,ปกติ
39850,เชียงราย,เชียงราย,เชียงราย,ปกติ
39851,อุดรธานี,อุดรธานี,กรุงเทพมหานคร,ปกติ
39852,ชลบุรี,ชลบุรี,สุรินทร์,ปกติ
39853,กรุงเทพมหานคร,กรุงเทพมหานคร,สมุทรสาคร,ปกติ
39854,กรุงเทพมหานคร,นนทบุรี,กรุงเทพมหานคร,ปกติ
39855,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39856,นครนายก,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39857,ขอนแก่น,ขอนแก่น,ขอนแก่น,ปกติ
39858,พิษณุโลก,พิษณุโลก,ขอนแก่น,ปกติ
39859,ภูเก็ต,ภูเก็ต,ภูเก็ต,ปกติ
39860,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39861,นนทบุรี,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39862,พิษณุโลก,พิษณุโลก,พิจิตร,ปกติ
39863,ชลบุรี,ชลบุรี,กรุงเทพมหานคร,ปกติ
39864,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39865,ตราด,ตราด,ตราด,ปกติ
39866,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39867,นครศรีธรรมราช,นครศรีธรรมราช,นครศรีธรรมราช,ปกติ
39868,ชลบุรี,แพร่,แพร่,ปกติ
39869,นครราชสีมา,ปทุมธานี,กรุงเทพมหานคร,ปกติ
39870,เชียงใหม่,เชียงใหม่,แม่ฮ่องสอน,ปกติ
39871,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39872,พระนครศรีอยุธยา,พระนครศรีอยุธยา,กรุงเทพมหานคร,ปกติ
39873,ชลบุรี,ชลบุรี,กรุงเทพมหานคร,ปกติ
39874,นครราชสีมา,นครราชสีมา,นครราชสีมา,ปกติ
39875,ยะลา,ยะลา,ยะลา,ปกติ
39876,บึงกาฬ,บึงกาฬ,บึงกาฬ,ปกติ
39877,เชียงใหม่,เชียงใหม่,,ปกติ
39878,นครราชสีมา,ปทุมธานี,ปทุมธานี,ปกติ
39879,มหาสารคาม,ขอนแก่น,ขอนแก่น,ปกติ
39880,ขอนแก่น,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39881,กรุงเทพมหานคร,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39882,กรุงเทพมหานคร,กรุงเทพมหานคร,,ปกติ
39883,กรุงเทพมหานคร,สมุทรปราการ,,ปกติ
39884,น่าน,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39885,ลำปาง,กรุงเทพมหานคร,กรุงเทพมหานคร,ปกติ
39886,นครปฐม,นครปฐม,พระนครศรีอยุธยา,ปกติ
39887,ร้อยเอ็ด,ร้อยเอ็ด,ร้อยเอ็ด,ปกติ
